Время                                       Абсолютная
1033000                                     13672057
1033063                                     13672057
1033125                                     13672057
1033188                                     13672057
1033250                                     13672057
1033313                                     13672057
1033375                                     13672057
1033438                                     13672057
1033500                                     13672057
1033563                                     13672057
1033625                                     13672057
1033688                                     13672057
1033750                                     13672057
1033829                                     13672057
1033891                                     13672057
1033954                                     13672057
1034016                                     13672057
1034079                                     13672057
1034141                                     13672057
1034204                                     13672057
1034266                                     13672057
1034329                                     13672044
1034391                                     13672044
1034454                                     13672041
1034516                                     13672041
1034594                                     13672041
1034657                                     13672041
1034719                                     13672041
1034782                                     13672041
1034844                                     13672041
1034907                                     13672041
1034969                                     13672041
1035032                                     13672042
1035094                                     13672042
1035157                                     13672042
1035219                                     13672042
1035282                                     13672042
1035344                                     13672042
1035407                                     13672042
1035469                                     13672042
1035532                                     13672042
1035594                                     13672042
1035657                                     13672042
1035719                                     13672042
1035782                                     13672042
1035844                                     13672043
1035907                                     13672043
1035969                                     13672043
1036032                                     13672043
1036094                                     13672043
1036157                                     13672043
1036219                                     13672043
1036282                                     13672043
1036344                                     13672043
1036407                                     13672043
1036469                                     13672043
1036532                                     13672043
1036594                                     13672043
1036657                                     13672043
1036719                                     13672043
1036782                                     13672043
1036844                                     13672043
1036907                                     13672043
1036969                                     13672043
1037032                                     13672043
1037094                                     13672043
1037157                                     13672043
1037219                                     13672043
1037282                                     13672043
1037344                                     13672043
1037407                                     13672043
1037469                                     13672043
1037532                                     13672043
1037610                                     13672043
1037672                                     13672043
1037735                                     13672043
1037797                                     13672043
1037875                                     13672043
1037938                                     13672043
1038000                                     13672043
1038063                                     13672043
1038125                                     13672043
1038188                                     13672043
1038250                                     13672043
1038313                                     13672043
1038375                                     13672043
1038438                                     13672043
1038500                                     13672043
1038563                                     13672043
1038625                                     13672043
1038688                                     13672043
1038750                                     13672043
1038813                                     13672043
1038875                                     13672043
1038938                                     13672043
1039000                                     13672043
1039063                                     13672043
1039125                                     13672043
1039188                                     13672043
1039250                                     13672043
1039313                                     13672041
1039375                                     13672041
1039438                                     13672038
1039500                                     13672037
1039563                                     13672037
1039625                                     13672038
1039688                                     13672038
1039750                                     13672038
1039813                                     13672038
1039875                                     13672038
1039938                                     13672037
1040000                                     13672037
1040063                                     13672037
1040125                                     13672037
1040188                                     13672037
1040250                                     13672037
1040313                                     13672037
1040375                                     13672037
1040438                                     13672037
1040500                                     13672037
1040563                                     13672037
1040625                                     13672037
1040688                                     13672036
1040750                                     13672036
1040829                                     13672036
1040891                                     13672036
1040954                                     13672036
1041016                                     13672036
1041079                                     13672036
1041141                                     13672036
1041204                                     13672036
1041266                                     13672036
1041329                                     13672036
1041391                                     13672036
1041454                                     13672036
1041516                                     13672036
1041579                                     13672036
1041641                                     13672036
1041704                                     13672036
1041766                                     13672036
1041829                                     13672036
1041891                                     13672036
1041969                                     13672036
1042032                                     13672036
1042094                                     13672036
1042172                                     13672036
1042235                                     13672036
1042297                                     13672036
1042360                                     13672036
1042422                                     13672036
1042485                                     13672036
1042547                                     13672036
1042610                                     13672036
1042672                                     13672036
1042735                                     13672036
1042813                                     13672036
1042875                                     13672036
1042938                                     13672036
1043000                                     13672036
1043063                                     13672036
1043125                                     13672036
1043188                                     13672036
1043250                                     13672036
1043313                                     13672036
1043391                                     13672036
1043454                                     13672036
1043516                                     13672036
1043579                                     13672036
1043641                                     13672036
1043704                                     13672036
1043766                                     13672036
1043829                                     13672036
1043907                                     13672036
1043969                                     13672036
1044016                                     13672036
1044079                                     13672036
1044141                                     13672036
1044204                                     13672036
1044266                                     13672036
1044329                                     13672034
1044391                                     13672021
1044454                                     13672021
1044516                                     13672021
1044579                                     13672021
1044641                                     13672021
1044704                                     13672021
1044766                                     13672021
1044829                                     13672021
1044891                                     13672021
1044954                                     13672021
1045016                                     13672022
1045079                                     13672022
1045141                                     13672022
1045204                                     13672022
1045266                                     13672022
1045329                                     13672022
1045391                                     13672022
1045454                                     13672022
1045516                                     13672022
1045579                                     13672022
1045641                                     13672023
1045704                                     13672023
1045766                                     13672023
1045829                                     13672023
1045891                                     13672023
1045954                                     13672023
1046016                                     13672023
1046079                                     13672023
1046141                                     13672023
1046204                                     13672024
1046266                                     13672024
1046329                                     13672023
1046391                                     13672023
1046454                                     13672023
1046516                                     13672023
1046579                                     13672023
1046641                                     13672023
1046704                                     13672023
1046766                                     13672023
1046829                                     13672023
1046891                                     13672023
1046954                                     13672023
1047016                                     13672023
1047079                                     13672023
1047141                                     13672023
1047204                                     13672023
1047266                                     13672023
1047344                                     13672023
1047407                                     13672023
1047469                                     13672023
1047532                                     13672023
1047594                                     13672023
1047657                                     13672023
1047719                                     13672023
1047782                                     13672023
1047844                                     13672023
1047907                                     13672023
1047969                                     13672023
1048032                                     13672023
1048094                                     13672023
1048157                                     13672023
1048219                                     13672023
1048282                                     13672023
1048344                                     13672023
1048407                                     13672023
1048469                                     13672023
1048532                                     13672023
1048594                                     13672023
1048657                                     13672023
1048719                                     13672023
1048782                                     13672023
1048844                                     13672023
1048907                                     13672023
1048969                                     13672023
1049032                                     13672023
1049094                                     13672023
1049157                                     13672023
1049219                                     13672023
1049282                                     13672021
1049344                                     13672021
1049407                                     13672018
1049469                                     13672018
1049532                                     13672018
1049594                                     13672018
1049657                                     13672018
1049719                                     13672018
1049782                                     13672018
1049844                                     13672018
1049907                                     13672018
1049969                                     13672018
1050032                                     13672018
1050094                                     13672017
1050157                                     13672017
1050219                                     13672017
1050282                                     13672017
1050344                                     13672017
1050407                                     13672017
1050469                                     13672017
1050532                                     13672017
1050594                                     13672017
1050657                                     13672017
1050719                                     13672017
1050782                                     13672017
1050844                                     13672016
1050907                                     13672016
1050969                                     13672016
1051032                                     13672016
1051094                                     13672016
